date time,dewpoint,humidity,pressure,temperature
2014-06-08T15:20:00,0,60,1019,21
2014-06-08T00:50:00,1,82,1018,22
2014-06-08T14:50:00,2,60,1019,21
2014-06-08T10:00:00,2,55,1020,19
2014-06-08T00:00:00,2,77,1018,17
2014-06-08T18:50:00,0,68,1019,13
2014-06-08T00:20:00,0,82,1018,13
2014-06-08T06:50:00,0,82,1019,13
2014-06-08T07:50:00,0,72,1019,17
2014-06-08T18:20:00,0,64,1019,13
2014-06-08T02:50:00,0,82,1018,19
2014-06-08T02:20:00,0,88,1018,13
2014-06-08T04:50:00,9,88,1018,18
2014-06-08T02:00:00,8,80,1019,20
2014-06-08T16:50:00,7,60,1019,20
2014-06-08T19:50:00,8,64,1019,18
2014-06-08T19:20:00,8,64,1019,18
2014-06-08T05:00:00,8,77,1018,19
2014-06-08T19:00:00,8,56,1020,12
2014-06-08T14:20:00,10,68,1019,6
2014-06-08T10:20:00,6,68,1020,9
2014-06-08T07:00:00,9,77,1019,6
2014-06-08T22:20:00,6,78,1020,8
2014-06-08T10:50:00,7,60,1019,9
2014-06-08T17:00:00,8,51,1020,8
2014-06-08T01:00:00,8,78,1018,11
2014-06-08T17:20:00,8,60,1020,6
2014-06-08T01:20:00,8,88,1018,9
2014-06-08T01:50:00,8,88,1018,7
2014-06-08T22:50:00,3,77,1020,7
2014-06-08T21:00:00,7,63,1020,9
2014-06-08T23:20:00,2,82,1020,9
2014-06-08T21:50:00,8,78,1020,8
2014-06-08T16:20:00,8,57,1020,7
2014-06-08T06:20:00,8,88,1018,8
2014-06-08T13:50:00,8,60,1019,8
2014-06-08T06:00:00,8,80,1019,9
2014-06-08T13:00:00,8,46,1020,8
2014-06-08T13:20:00,8,53,1019,8
2014-06-08T14:00:00,7,54,1020,6
2014-06-08T08:50:00,9,64,1020,6
2014-06-08T15:00:00,8,47,1020,7
2014-06-08T08:00:00,9,62,1019,8
2014-06-08T08:20:00,8,68,1019,7
2014-06-08T21:20:00,3,73,1020,7
2014-06-08T11:50:00,8,60,1019,6
2014-06-08T11:20:00,8,56,1019,9
2014-06-08T17:50:00,8,68,1019,7
2014-06-08T11:00:00,8,49,1019,9
2014-06-08T23:00:00,8,70,1020,9
2014-06-08T05:50:00,10,82,1018,7
2014-06-08T20:50:00,7,68,1019,6
2014-06-08T20:20:00,3,68,1019,11
2014-06-08T16:00:00,7,49,1020,6
2014-06-08T20:00:00,8,58,1019,10
2014-06-08T15:50:00,8,60,1019,7
2014-06-08T22:00:00,3,71,1020,7
2014-06-08T07:20:00,8,72,1018,6
2014-06-08T03:20:00,8,82,1018,10
2014-06-08T03:00:00,2,79,1019,9
2014-06-08T03:50:00,9,82,1018,8
2014-06-08T23:50:00,2,77,1020,10
2014-06-08T04:00:00,8,80,1019,10
2014-06-08T12:00:00,8,54,1019,7
2014-06-08T04:20:00,8,82,1018,7
2014-06-08T12:20:00,8,68,1019,7
2014-06-08T12:50:00,8,60,1019,7
2014-06-08T18:00:00,3,54,1020,7
2014-06-08T09:00:00,8,52,1020,10
2014-06-08T09:20:00,6,64,1019,8
2014-06-08T09:50:00,8,64,1019,8
2014-06-08T05:20:00,4,82,1018,6
2014-06-07T05:00:00,5,93,1017,9
2014-06-07T23:00:00,3,63,1017,10
2014-06-07T05:20:00,8,63,1017,8
2014-06-07T12:00:00,8,55,1017,10
2014-06-07T08:00:00,3,88,1017,9
2014-06-07T12:20:00,8,68,1018,9
2014-06-07T07:50:00,8,67,1016,9
2014-06-07T08:50:00,8,61,1017,7
2014-06-07T23:20:00,7,72,1017,9
2014-06-07T04:20:00,2,45,1017,7
2014-06-07T07:20:00,7,82,1017,9
2014-06-07T10:20:00,9,63,1018,7
2014-06-07T07:00:00,3,84,1017,7
2014-06-07T19:00:00,11,52,1017,8
2014-06-07T21:20:00,10,72,1017,9
2014-06-07T18:50:00,12,63,1017,8
2014-06-07T08:20:00,13,93,1017,9
2014-06-07T09:50:00,12,85,1017,9
2014-06-07T10:00:00,11,49,1017,9
2014-06-07T09:00:00,12,87,1017,6
2014-06-07T11:50:00,10,87,1016,5
2014-06-07T09:20:00,12,87,1016,5
2014-06-07T15:20:00,10,49,1017,4
2014-06-07T03:50:00,10,81,1017,4
2014-06-07T03:20:00,6,59,1017,7
2014-06-07T05:50:00,11,87,1017,5
2014-06-07T03:00:00,11,63,1016,6
2014-06-07T14:50:00,-3,55,1017,6
2014-06-07T14:20:00,1,44,1017,4
2014-06-07T04:00:00,-1,67,1018,6
2014-06-07T14:00:00,0,45,1017,9
